date,extent,area,data-type,region
1979-1,5.40,3.47,Goddard,S
1980-1,4.56,3.08,Goddard,S
1981-1,4.41,2.84,Goddard,S
1982-1,5.26,3.25,Goddard,S
1983-1,4.77,3.21,Goddard,S
1984-1,4.78,2.93,Goddard,S
1985-1,4.46,2.87,Goddard,S
1986-1,5.42,3.43,Goddard,S
1987-1,5.13,3.31,Goddard,S
1988-1,-9999,-9999,-9999,S
1989-1,4.74,3.17,Goddard,S
1990-1,4.87,3.39,Goddard,S
1991-1,5.34,3.52,Goddard,S
1992-1,4.75,3.24,Goddard,S
1993-1,4.41,2.55,Goddard,S
1994-1,4.97,3.37,Goddard,S
1995-1,5.64,3.73,Goddard,S
1996-1,5.87,3.55,Goddard,S
1997-1,4.20,2.77,Goddard,S
1998-1,4.46,3.04,Goddard,S
1999-1,4.82,3.11,Goddard,S
2000-1,4.75,2.92,Goddard,S
2001-1,5.23,3.64,Goddard,S
2002-1,4.74,2.95,Goddard,S
2003-1,5.77,4.11,Goddard,S
2004-1,5.59,3.80,Goddard,S
2005-1,4.75,3.18,Goddard,S
2006-1,4.16,2.81,Goddard,S
2007-1,4.67,3.00,Goddard,S
2008-1,6.41,4.07,Goddard,S
2009-1,5.71,3.50,Goddard,S
2010-1,4.96,3.33,Goddard,S
2011-1,4.51,3.05,Goddard,S
2012-1,5.65,3.71,Goddard,S
2013-1,5.54,3.94,Goddard,S
2014-1,6.33,4.38,Goddard,S
2015-1,6.85,4.34,Goddard,S
2016-1,4.69,3.03,Goddard,S
2017-1,3.78,2.56,Goddard,S
2018-1,4.21,2.69,Goddard,S
2019-1,3.87,2.66,Goddard,S
2020-1,4.60,3.09,Goddard,S
2021-1,4.78,2.94,Goddard,S
2022-1,3.86,2.38,NRTSI-G,S
1979-2,3.14,2.11,Goddard,S
1980-2,2.82,1.85,Goddard,S
1981-2,2.87,1.74,Goddard,S
1982-2,3.13,1.86,Goddard,S
1983-2,3.07,1.91,Goddard,S
1984-2,2.68,1.75,Goddard,S
1985-2,2.84,1.83,Goddard,S
1986-2,3.19,2.00,Goddard,S
1987-2,3.25,2.00,Goddard,S
1988-2,2.89,1.90,Goddard,S
1989-2,2.98,2.03,Goddard,S
1990-2,3.04,2.21,Goddard,S
1991-2,3.16,2.09,Goddard,S
1992-2,2.84,1.86,Goddard,S
1993-2,2.48,1.37,Goddard,S
1994-2,3.20,2.22,Goddard,S
1995-2,3.56,2.19,Goddard,S
1996-2,2.98,1.77,Goddard,S
1997-2,2.49,1.72,Goddard,S
1998-2,2.99,1.87,Goddard,S
1999-2,2.97,1.77,Goddard,S
2000-2,2.91,1.72,Goddard,S
2001-2,3.65,2.44,Goddard,S
2002-2,2.96,1.82,Goddard,S
2003-2,3.79,2.66,Goddard,S
2004-2,3.58,2.36,Goddard,S
2005-2,2.97,1.97,Goddard,S
2006-2,2.65,1.76,Goddard,S
2007-2,2.90,1.94,Goddard,S
2008-2,3.89,2.40,Goddard,S
2009-2,2.99,1.97,Goddard,S
2010-2,3.11,2.11,Goddard,S
2011-2,2.52,1.86,Goddard,S
2012-2,3.55,2.19,Goddard,S
2013-2,3.84,2.58,Goddard,S
2014-2,3.84,2.65,Goddard,S
2015-2,3.80,2.54,Goddard,S
2016-2,2.79,1.86,Goddard,S
2017-2,2.29,1.64,Goddard,S
2018-2,2.33,1.63,Goddard,S
2019-2,2.65,1.81,Goddard,S
2020-2,2.92,1.83,Goddard,S
2021-2,2.89,1.72,Goddard,S
2022-2,2.16,1.35,NRTSI-G,S
1979-3,4.00,2.66,Goddard,S
1980-3,3.29,2.11,Goddard,S
1981-3,3.39,2.16,Goddard,S
1982-3,4.29,2.84,Goddard,S
1983-3,4.02,2.62,Goddard,S
1984-3,3.61,2.34,Goddard,S
1985-3,3.72,2.54,Goddard,S
1986-3,3.70,2.38,Goddard,S
1987-3,4.11,2.75,Goddard,S
1988-3,3.97,2.59,Goddard,S
1989-3,3.93,2.59,Goddard,S
1990-3,3.97,2.79,Goddard,S
1991-3,3.81,2.65,Goddard,S
1992-3,3.57,2.47,Goddard,S
1993-3,3.67,2.24,Goddard,S
1994-3,4.55,3.20,Goddard,S
1995-3,4.63,3.01,Goddard,S
1996-3,4.18,2.65,Goddard,S
1997-3,3.46,2.30,Goddard,S
1998-3,4.11,2.71,Goddard,S
1999-3,3.98,2.58,Goddard,S
2000-3,4.09,2.67,Goddard,S
2001-3,4.73,3.36,Goddard,S
2002-3,3.75,2.36,Goddard,S
2003-3,4.44,3.24,Goddard,S
2004-3,4.53,3.16,Goddard,S
2005-3,4.08,2.73,Goddard,S
2006-3,3.21,2.01,Goddard,S
2007-3,3.83,2.54,Goddard,S
2008-3,5.28,3.68,Goddard,S
2009-3,4.44,3.02,Goddard,S
2010-3,3.85,2.66,Goddard,S
2011-3,3.37,2.26,Goddard,S
2012-3,4.55,2.91,Goddard,S
2013-3,5.02,3.49,Goddard,S
2014-3,4.90,3.32,Goddard,S
2015-3,4.96,3.45,Goddard,S
2016-3,4.07,2.77,Goddard,S
2017-3,2.70,1.83,Goddard,S
2018-3,3.54,2.31,Goddard,S
2019-3,3.17,2.10,Goddard,S
2020-3,4.00,2.59,Goddard,S
2021-3,4.48,2.82,Goddard,S
2022-3,2.82,1.83,NRTSI-G,S
1979-4,7.49,5.45,Goddard,S
1980-4,5.40,3.68,Goddard,S
1981-4,5.84,4.07,Goddard,S
1982-4,7.72,5.79,Goddard,S
1983-4,6.47,4.70,Goddard,S
1984-4,6.42,4.53,Goddard,S
1985-4,6.49,4.74,Goddard,S
1986-4,6.39,4.56,Goddard,S
1987-4,6.80,5.04,Goddard,S
1988-4,6.29,4.44,Goddard,S
1989-4,6.31,4.50,Goddard,S
1990-4,7.00,5.18,Goddard,S
1991-4,7.05,5.18,Goddard,S
1992-4,6.79,5.00,Goddard,S
1993-4,6.65,4.90,Goddard,S
1994-4,7.22,5.45,Goddard,S
1995-4,7.27,5.40,Goddard,S
1996-4,7.28,5.37,Goddard,S
1997-4,6.49,4.84,Goddard,S
1998-4,6.85,5.12,Goddard,S
1999-4,6.89,5.13,Goddard,S
2000-4,7.13,5.31,Goddard,S
2001-4,7.04,5.30,Goddard,S
2002-4,6.33,4.59,Goddard,S
2003-4,7.21,5.56,Goddard,S
2004-4,7.28,5.39,Goddard,S
2005-4,7.03,5.19,Goddard,S
2006-4,6.01,4.28,Goddard,S
2007-4,6.42,4.70,Goddard,S
2008-4,8.24,6.23,Goddard,S
2009-4,7.80,5.96,Goddard,S
2010-4,6.72,5.00,Goddard,S
2011-4,6.10,4.39,Goddard,S
2012-4,7.31,5.55,Goddard,S
2013-4,7.62,5.75,Goddard,S
2014-4,8.34,6.41,Goddard,S
2015-4,8.37,6.37,Goddard,S
2016-4,7.22,5.38,Goddard,S
2017-4,5.44,3.93,Goddard,S
2018-4,6.03,4.15,Goddard,S
2019-4,5.72,4.18,Goddard,S
2020-4,6.66,4.81,Goddard,S
2021-4,7.13,5.29,Goddard,S
2022-4,5.89,4.21,NRTSI-G,S
1979-5,10.83,8.30,Goddard,S
1980-5,8.86,6.44,Goddard,S
1981-5,9.35,7.08,Goddard,S
1982-5,10.76,8.27,Goddard,S
1983-5,9.53,7.16,Goddard,S
1984-5,9.75,7.41,Goddard,S
1985-5,10.15,7.84,Goddard,S
1986-5,9.30,7.04,Goddard,S
1987-5,9.69,7.53,Goddard,S
1988-5,9.60,7.23,Goddard,S
1989-5,10.30,8.00,Goddard,S
1990-5,9.72,7.46,Goddard,S
1991-5,10.28,7.86,Goddard,S
1992-5,9.92,7.62,Goddard,S
1993-5,10.10,7.89,Goddard,S
1994-5,10.41,8.21,Goddard,S
1995-5,10.42,8.19,Goddard,S
1996-5,10.92,8.65,Goddard,S
1997-5,10.12,7.91,Goddard,S
1998-5,10.33,7.91,Goddard,S
1999-5,10.27,8.07,Goddard,S
2000-5,10.92,8.56,Goddard,S
2001-5,10.33,8.00,Goddard,S
2002-5,9.51,7.18,Goddard,S
2003-5,10.74,8.45,Goddard,S
2004-5,10.47,8.19,Goddard,S
2005-5,10.29,7.96,Goddard,S
2006-5,9.46,7.20,Goddard,S
2007-5,9.65,7.54,Goddard,S
2008-5,11.05,8.60,Goddard,S
2009-5,10.93,8.46,Goddard,S
2010-5,10.64,8.33,Goddard,S
2011-5,10.09,7.85,Goddard,S
2012-5,10.46,8.15,Goddard,S
2013-5,10.92,8.49,Goddard,S
2014-5,11.52,9.03,Goddard,S
2015-5,11.72,9.21,Goddard,S
2016-5,10.10,7.91,Goddard,S
2017-5,9.01,6.83,Goddard,S
2018-5,9.32,7.15,Goddard,S
2019-5,8.85,6.84,Goddard,S
2020-5,9.87,7.61,Goddard,S
2021-5,10.40,8.21,Goddard,S
2022-5,9.32,7.23,NRTSI-G,S
1979-6,14.19,11.22,Goddard,S
1980-6,12.49,9.58,Goddard,S
1981-6,13.11,10.16,Goddard,S
1982-6,13.42,10.50,Goddard,S
1983-6,12.64,9.77,Goddard,S
1984-6,13.23,10.64,Goddard,S
1985-6,13.43,10.51,Goddard,S
1986-6,12.69,9.72,Goddard,S
1987-6,12.68,9.91,Goddard,S
1988-6,13.09,10.28,Goddard,S
1989-6,13.58,10.81,Goddard,S
1990-6,13.08,10.35,Goddard,S
1991-6,13.07,9.99,Goddard,S
1992-6,12.81,10.00,Goddard,S
1993-6,13.15,10.37,Goddard,S
1994-6,13.56,10.73,Goddard,S
1995-6,13.29,10.46,Goddard,S
1996-6,13.87,11.09,Goddard,S
1997-6,13.12,10.22,Goddard,S
1998-6,13.31,10.34,Goddard,S
1999-6,13.65,10.83,Goddard,S
2000-6,13.89,11.04,Goddard,S
2001-6,13.42,10.56,Goddard,S
2002-6,12.38,9.70,Goddard,S
2003-6,13.99,11.16,Goddard,S
2004-6,13.78,10.89,Goddard,S
2005-6,13.29,10.31,Goddard,S
2006-6,13.34,10.58,Goddard,S
2007-6,13.29,10.48,Goddard,S
2008-6,14.06,11.40,Goddard,S
2009-6,13.91,11.09,Goddard,S
2010-6,14.41,11.65,Goddard,S
2011-6,13.33,10.54,Goddard,S
2012-6,13.55,10.79,Goddard,S
2013-6,14.15,11.27,Goddard,S
2014-6,14.69,12.06,Goddard,S
2015-6,14.47,11.48,Goddard,S
2016-6,13.24,10.61,Goddard,S
2017-6,12.41,9.80,Goddard,S
2018-6,12.89,10.23,Goddard,S
2019-6,12.25,9.75,Goddard,S
2020-6,13.27,10.59,Goddard,S
2021-6,13.54,11.05,Goddard,S
2022-6,12.13,9.49,NRTSI-G,S
1979-7,16.52,13.26,Goddard,S
1980-7,15.56,12.18,Goddard,S
1981-7,16.04,12.78,Goddard,S
1982-7,15.87,12.47,Goddard,S
1983-7,15.47,12.37,Goddard,S
1984-7,16.40,13.38,Goddard,S
1985-7,15.72,12.48,Goddard,S
1986-7,15.32,12.09,Goddard,S
1987-7,15.75,12.50,Goddard,S
1988-7,15.75,12.62,Goddard,S
1989-7,15.71,12.58,Goddard,S
1990-7,15.57,12.27,Goddard,S
1991-7,15.55,12.22,Goddard,S
1992-7,15.89,12.58,Goddard,S
1993-7,15.85,12.72,Goddard,S
1994-7,16.30,13.12,Goddard,S
1995-7,15.74,12.53,Goddard,S
1996-7,16.12,12.89,Goddard,S
1997-7,15.92,12.75,Goddard,S
1998-7,15.96,12.66,Goddard,S
1999-7,16.28,13.06,Goddard,S
2000-7,16.10,12.99,Goddard,S
2001-7,15.85,12.58,Goddard,S
2002-7,15.41,12.52,Goddard,S
2003-7,16.40,13.17,Goddard,S
2004-7,16.33,13.16,Goddard,S
2005-7,16.16,12.72,Goddard,S
2006-7,16.11,12.88,Goddard,S
2007-7,15.96,12.61,Goddard,S
2008-7,16.09,12.95,Goddard,S
2009-7,16.26,13.09,Goddard,S
2010-7,16.92,13.74,Goddard,S
2011-7,15.75,12.34,Goddard,S
2012-7,16.30,13.31,Goddard,S
2013-7,16.81,13.73,Goddard,S
2014-7,17.11,13.95,Goddard,S
2015-7,16.78,13.45,Goddard,S
2016-7,16.02,12.55,Goddard,S
2017-7,15.30,12.28,Goddard,S
2018-7,15.70,12.49,Goddard,S
2019-7,15.30,12.33,Goddard,S
2020-7,15.72,12.58,Goddard,S
2021-7,16.45,13.36,Goddard,S
2022-7,14.90,11.87,NRTSI-G,S
1979-8,17.70,13.79,Goddard,S
1980-8,17.81,13.96,Goddard,S
1981-8,17.74,14.16,Goddard,S
1982-8,17.79,14.28,Goddard,S
1983-8,17.25,13.84,Goddard,S
1984-8,17.93,14.23,Goddard,S
1985-8,17.63,14.24,Goddard,S
1986-8,17.00,13.46,Goddard,S
1987-8,17.60,14.02,Goddard,S
1988-8,17.56,13.98,Goddard,S
1989-8,17.47,14.03,Goddard,S
1990-8,17.57,14.03,Goddard,S
1991-8,17.72,14.05,Goddard,S
1992-8,17.73,14.17,Goddard,S
1993-8,17.49,13.93,Goddard,S
1994-8,17.84,14.49,Goddard,S
1995-8,17.78,14.20,Goddard,S
1996-8,17.74,13.90,Goddard,S
1997-8,17.68,14.09,Goddard,S
1998-8,17.88,14.06,Goddard,S
1999-8,17.96,14.24,Goddard,S
2000-8,18.21,14.64,Goddard,S
2001-8,17.42,13.75,Goddard,S
2002-8,17.07,13.74,Goddard,S
2003-8,17.58,13.77,Goddard,S
2004-8,18.01,14.23,Goddard,S
2005-8,17.92,13.95,Goddard,S
2006-8,18.10,14.54,Goddard,S
2007-8,17.68,14.03,Goddard,S
2008-8,17.64,14.13,Goddard,S
2009-8,18.10,14.45,Goddard,S
2010-8,18.61,14.95,Goddard,S
2011-8,17.81,14.04,Goddard,S
2012-8,18.10,14.56,Goddard,S
2013-8,18.66,15.13,Goddard,S
2014-8,18.91,15.10,Goddard,S
2015-8,17.75,14.02,Goddard,S
2016-8,17.89,13.98,Goddard,S
2017-8,17.22,13.62,Goddard,S
2018-8,17.42,14.01,Goddard,S
2019-8,17.48,13.99,Goddard,S
2020-8,17.76,14.42,Goddard,S
2021-8,18.19,14.63,Goddard,S
2022-8,16.97,13.66,NRTSI-G,S
1979-9,18.20,14.29,Goddard,S
1980-9,18.82,14.87,Goddard,S
1981-9,18.60,14.78,Goddard,S
1982-9,18.35,14.53,Goddard,S
1983-9,18.59,14.68,Goddard,S
1984-9,18.17,14.27,Goddard,S
1985-9,18.70,14.72,Goddard,S
1986-9,17.68,13.88,Goddard,S
1987-9,18.25,14.27,Goddard,S
1988-9,18.31,14.20,Goddard,S
1989-9,18.12,14.48,Goddard,S
1990-9,18.19,14.39,Goddard,S
1991-9,18.31,14.47,Goddard,S
1992-9,18.15,14.13,Goddard,S
1993-9,18.54,14.70,Goddard,S
1994-9,18.61,14.61,Goddard,S
1995-9,18.37,14.46,Goddard,S
1996-9,18.63,14.54,Goddard,S
1997-9,18.60,14.59,Goddard,S
1998-9,18.90,14.84,Goddard,S
1999-9,18.70,14.62,Goddard,S
2000-9,18.89,15.07,Goddard,S
2001-9,18.17,14.36,Goddard,S
2002-9,17.89,14.10,Goddard,S
2003-9,18.30,14.14,Goddard,S
2004-9,18.92,14.59,Goddard,S
2005-9,18.80,14.85,Goddard,S
2006-9,19.09,15.18,Goddard,S
2007-9,18.86,15.39,Goddard,S
2008-9,18.15,14.39,Goddard,S
2009-9,18.96,15.08,Goddard,S
2010-9,18.80,14.43,Goddard,S
2011-9,18.74,14.57,Goddard,S
2012-9,19.21,15.41,Goddard,S
2013-9,19.39,15.28,Goddard,S
2014-9,19.76,15.75,Goddard,S
2015-9,18.44,14.45,Goddard,S
2016-9,18.15,13.86,Goddard,S
2017-9,17.91,13.92,Goddard,S
2018-9,17.96,14.20,Goddard,S
2019-9,18.33,14.60,Goddard,S
2020-9,18.84,15.09,Goddard,S
2021-9,18.51,14.42,Goddard,S
2022-9,18.01,14.05,NRTSI-G,S
1979-10,17.82,13.72,Goddard,S
1980-10,18.57,14.57,Goddard,S
1981-10,18.29,14.43,Goddard,S
1982-10,17.79,13.74,Goddard,S
1983-10,17.92,13.92,Goddard,S
1984-10,17.57,13.73,Goddard,S
1985-10,18.20,14.37,Goddard,S
1986-10,17.18,13.32,Goddard,S
1987-10,17.67,13.71,Goddard,S
1988-10,18.36,14.41,Goddard,S
1989-10,17.86,13.85,Goddard,S
1990-10,17.95,13.80,Goddard,S
1991-10,17.92,13.80,Goddard,S
1992-10,17.93,13.85,Goddard,S
1993-10,18.13,14.17,Goddard,S
1994-10,18.09,14.07,Goddard,S
1995-10,18.03,13.57,Goddard,S
1996-10,17.96,13.94,Goddard,S
1997-10,17.99,14.12,Goddard,S
1998-10,18.66,14.54,Goddard,S
1999-10,18.35,14.23,Goddard,S
2000-10,18.13,14.26,Goddard,S
2001-10,17.73,13.34,Goddard,S
2002-10,17.87,13.82,Goddard,S
2003-10,18.20,13.87,Goddard,S
2004-10,18.46,14.12,Goddard,S
2005-10,18.48,14.04,Goddard,S
2006-10,18.73,14.68,Goddard,S
2007-10,18.51,14.59,Goddard,S
2008-10,17.99,14.12,Goddard,S
2009-10,18.30,14.35,Goddard,S
2010-10,18.65,14.41,Goddard,S
2011-10,18.22,14.23,Goddard,S
2012-10,18.59,14.45,Goddard,S
2013-10,19.02,15.13,Goddard,S
2014-10,19.00,14.83,Goddard,S
2015-10,18.41,14.36,Goddard,S
2016-10,17.46,12.94,Goddard,S
2017-10,17.78,13.45,Goddard,S
2018-10,17.73,13.99,Goddard,S
2019-10,17.94,13.90,Goddard,S
2020-10,18.49,14.60,Goddard,S
2021-10,17.69,13.39,Goddard,S
2022-10,17.41,13.25,NRTSI-G,S
1978-11,15.90,11.69,Goddard,S
1979-11,15.34,11.32,Goddard,S
1980-11,16.13,11.84,Goddard,S
1981-11,16.11,12.07,Goddard,S
1982-11,15.54,11.27,Goddard,S
1983-11,16.01,11.57,Goddard,S
1984-11,16.13,12.06,Goddard,S
1985-11,16.14,12.34,Goddard,S
1986-11,15.01,10.87,Goddard,S
1987-11,15.58,11.23,Goddard,S
1988-11,16.15,12.29,Goddard,S
1989-11,15.73,11.42,Goddard,S
1990-11,15.47,11.35,Goddard,S
1991-11,15.58,11.46,Goddard,S
1992-11,15.90,11.20,Goddard,S
1993-11,16.04,11.83,Goddard,S
1994-11,15.88,11.78,Goddard,S
1995-11,15.63,11.49,Goddard,S
1996-11,15.72,11.24,Goddard,S
1997-11,15.73,11.59,Goddard,S
1998-11,16.30,11.88,Goddard,S
1999-11,15.96,11.51,Goddard,S
2000-11,15.76,11.81,Goddard,S
2001-11,15.61,11.00,Goddard,S
2002-11,15.41,11.67,Goddard,S
2003-11,16.11,11.47,Goddard,S
2004-11,16.08,11.75,Goddard,S
2005-11,16.32,11.80,Goddard,S
2006-11,16.23,11.61,Goddard,S
2007-11,15.89,12.16,Goddard,S
2008-11,16.25,12.01,Goddard,S
2009-11,15.85,11.80,Goddard,S
2010-11,16.75,11.92,Goddard,S
2011-11,15.76,11.77,Goddard,S
2012-11,16.11,12.07,Goddard,S
2013-11,16.87,12.77,Goddard,S
2014-11,16.39,12.26,Goddard,S
2015-11,16.18,11.90,Goddard,S
2016-11,14.22,9.84,Goddard,S
2017-11,15.11,10.91,Goddard,S
2018-11,15.10,10.75,Goddard,S
2019-11,14.99,11.19,Goddard,S
2020-11,16.23,11.88,Goddard,S
2021-11,15.04,10.45,Goddard,S
1978-12,10.40,6.97,Goddard,S
1979-12,9.24,6.24,Goddard,S
1980-12,10.16,6.56,Goddard,S
1981-12,10.89,7.02,Goddard,S
1982-12,9.22,6.31,Goddard,S
1983-12,10.39,6.71,Goddard,S
1984-12,10.47,6.96,Goddard,S
1985-12,11.35,7.46,Goddard,S
1986-12,9.65,6.49,Goddard,S
1987-12,-9999,-9999,-9999,S
1988-12,11.06,7.40,Goddard,S
1989-12,9.84,6.70,Goddard,S
1990-12,9.95,6.73,Goddard,S
1991-12,10.19,6.80,Goddard,S
1992-12,10.21,6.18,Goddard,S
1993-12,9.93,6.67,Goddard,S
1994-12,10.10,7.11,Goddard,S
1995-12,10.62,7.19,Goddard,S
1996-12,9.65,6.24,Goddard,S
1997-12,10.29,6.99,Goddard,S
1998-12,10.52,6.80,Goddard,S
1999-12,10.72,6.80,Goddard,S
2000-12,9.91,6.95,Goddard,S
2001-12,10.35,6.36,Goddard,S
2002-12,10.79,7.61,Goddard,S
2003-12,10.56,7.20,Goddard,S
2004-12,10.23,6.93,Goddard,S
2005-12,9.68,6.33,Goddard,S
2006-12,9.85,6.48,Goddard,S
2007-12,11.98,8.38,Goddard,S
2008-12,11.51,7.39,Goddard,S
2009-12,10.74,7.09,Goddard,S
2010-12,11.27,6.94,Goddard,S
2011-12,11.20,7.40,Goddard,S
2012-12,10.39,7.38,Goddard,S
2013-12,11.85,8.34,Goddard,S
2014-12,11.93,8.21,Goddard,S
2015-12,10.66,7.09,Goddard,S
2016-12,8.28,5.51,Goddard,S
2017-12,9.48,6.23,Goddard,S
2018-12,9.19,5.59,Goddard,S
2019-12,9.41,6.59,Goddard,S
2020-12,10.57,6.61,Goddard,S
2021-12,9.24,5.48,Goddard,S